Model,Execution Time (sec),MAE,MSE,RMSE
"ARIMA(1,0,1)",-1,-1,-1,-1
"ARIMA(1,0,3)",-1,-1,-1,-1
"ARIMA(1,1,2)",-1,-1,-1,-1
"ARIMA(1,1,3)",-1,-1,-1,-1
"ARIMA(1,2,1)",-1,-1,-1,-1
"ARIMA(1,2,2)",-1,-1,-1,-1
"ARIMA(1,2,3)",-1,-1,-1,-1
"ARIMA(1,3,0)",-1,-1,-1,-1
"ARIMA(1,3,1)",-1,-1,-1,-1
"ARIMA(1,3,2)",-1,-1,-1,-1
"ARIMA(1,3,3)",-1,-1,-1,-1
"ARIMA(2,0,1)",-1,-1,-1,-1
"ARIMA(2,0,2)",-1,-1,-1,-1
"ARIMA(2,0,3)",-1,-1,-1,-1
"ARIMA(2,1,2)",-1,-1,-1,-1
"ARIMA(2,1,3)",-1,-1,-1,-1
"ARIMA(2,2,1)",-1,-1,-1,-1
"ARIMA(2,2,2)",-1,-1,-1,-1
"ARIMA(2,2,3)",-1,-1,-1,-1
"ARIMA(2,3,0)",-1,-1,-1,-1
"ARIMA(2,3,1)",-1,-1,-1,-1
"ARIMA(2,3,2)",-1,-1,-1,-1
"ARIMA(2,3,3)",-1,-1,-1,-1
"ARIMA(3,0,1)",-1,-1,-1,-1
"ARIMA(3,0,2)",-1,-1,-1,-1
"ARIMA(3,0,3)",-1,-1,-1,-1
"ARIMA(3,1,2)",-1,-1,-1,-1
"ARIMA(3,1,3)",-1,-1,-1,-1
"ARIMA(3,2,1)",-1,-1,-1,-1
"ARIMA(3,2,2)",-1,-1,-1,-1
"ARIMA(3,2,3)",-1,-1,-1,-1
"ARIMA(3,3,0)",-1,-1,-1,-1
"ARIMA(3,3,1)",-1,-1,-1,-1
"ARIMA(3,3,2)",-1,-1,-1,-1
"ARIMA(3,3,3)",-1,-1,-1,-1
"ARIMA(4,0,1)",-1,-1,-1,-1
"ARIMA(4,0,2)",-1,-1,-1,-1
"ARIMA(4,0,3)",-1,-1,-1,-1
"ARIMA(4,1,2)",-1,-1,-1,-1
"ARIMA(4,1,3)",-1,-1,-1,-1
"ARIMA(4,2,2)",-1,-1,-1,-1
"ARIMA(4,2,3)",-1,-1,-1,-1
"ARIMA(4,3,0)",-1,-1,-1,-1
"ARIMA(4,3,1)",-1,-1,-1,-1
"ARIMA(4,3,2)",-1,-1,-1,-1
"ARIMA(4,3,3)",-1,-1,-1,-1
"ARIMA(5,0,1)",-1,-1,-1,-1
"ARIMA(5,0,2)",-1,-1,-1,-1
"ARIMA(5,0,3)",-1,-1,-1,-1
"ARIMA(5,1,2)",-1,-1,-1,-1
"ARIMA(5,1,3)",-1,-1,-1,-1
"ARIMA(5,2,1)",-1,-1,-1,-1
"ARIMA(5,2,2)",-1,-1,-1,-1
"ARIMA(5,2,3)",-1,-1,-1,-1
"ARIMA(5,3,0)",-1,-1,-1,-1
"ARIMA(5,3,1)",-1,-1,-1,-1
"ARIMA(5,3,2)",-1,-1,-1,-1
"ARIMA(5,3,3)",-1,-1,-1,-1
"ARIMA(4,2,1)",3.0380027294158936,52.693465031301116,4816.8318444156575,69.40339937218967
"ARIMA(2,1,0)",1.8839995861053467,62.74565083654784,6017.212621344303,77.57069434615306
"ARIMA(5,2,0)",4.173368215560913,67.45339144640265,6675.378016749466,81.7029865840256
"ARIMA(4,1,0)",2.365997791290283,66.20540766490616,7196.441367127348,84.83184170538412
"ARIMA(4,1,1)",3.766429901123047,65.97304026917772,7359.620483259096,85.7882304471837
"ARIMA(1,1,1)",3.3251771926879883,67.32774462346283,7486.457229274741,86.52431582667812
"ARIMA(1,0,2)",3.9709951877593994,71.62751910215864,7489.042081478266,86.53925168083131
"ARIMA(5,1,0)",3.1117477416992188,68.30215339546865,7534.315026671181,86.80043218020968
"ARIMA(3,1,0)",1.647001028060913,64.47974740728816,7544.737652415924,86.86044929895264
"ARIMA(1,1,0)",1.5649993419647217,72.40497481374258,7551.210726848584,86.89770265575831
"ARIMA(3,1,1)",2.0140011310577393,67.08712790995158,7740.298312381321,87.97896516998436
"ARIMA(4,2,0)",2.792909860610962,73.53707825957758,7894.721348733991,88.85224447775076
"ARIMA(5,1,1)",11.971516132354736,72.34608863831478,8178.372825052549,90.43435644185537
"ARIMA(2,1,1)",2.901309013366699,73.88449933021634,8401.75813636937,91.66110481752536
"ARIMA(3,0,0)",2.793992042541504,84.56979808935796,10286.980069608644,101.4247507742003
"ARIMA(5,0,0)",9.042672634124756,78.09173630530184,10433.560769628422,102.14480294967738
"ARIMA(2,2,0)",1.3908929824829102,92.73659230254957,10543.795547554655,102.68298567705682
"ARIMA(4,0,0)",5.046984672546387,80.65460541924888,10674.522541053553,103.3175809872335
"ARIMA(2,0,0)",3.396998643875122,87.99551332123322,10986.007316893165,104.81415609016354
"ARIMA(3,2,0)",1.7749993801116943,85.41797597619735,11049.278004181091,105.11554596814446
"ARIMA(1,2,0)",2.2759995460510254,125.52803762272804,20154.72891720861,141.96735158904883
"ARIMA(1,0,0)",1.356766700744629,134.6006032537596,24059.15472400023,155.11013739920492
